ARDR,ARK,REP,BCH,BTC,BCC,BCN,ADA,DASH,DCR,EOS,ETC,ETH,GAS,GNT,MIOTA,KMD,LSK,LTC,MAID,XMR,XEM,NEO,OMG,PIVX,QTUM,XRP,STEEM,XLM,STRAT,PAY,USDT,WAVES,ZEC
0.207045,2.8561,18.1704,1340.34,6447.39,249.771,0.00115601,0.0259941,431.995,31.5479,1.1652,16.0923,316.294,19.6725,0.204096,0.599458,2.0514,6.41091,61.2223,0.41153,121.085,0.18994,28.1392,7.46615,3.17639,11.3195,0.202469,0.876411,0.0305459,3.21074,1.64514,1.00164,4.39438,266.54
0.20614,2.87166,18.2385,1330.27,6505.33,249.597,0.00114979,0.0259742,431.795,31.5229,1.16481,16.0844,316.307,19.6634,0.204996,0.601466,2.03404,6.40614,61.2719,0.408728,121.653,0.189245,28.1357,7.49081,3.14846,11.3187,0.202849,0.879187,0.0306087,3.21055,1.64464,1.00791,4.39839,266.735
0.20691,2.86294,18.2736,1350.73,6454.87,250.477,0.00116291,0.0260653,432.846,31.6628,1.16679,16.0663,316.086,19.7239,0.205108,0.60453,2.03828,6.43752,61.253,0.411252,121.99,0.190579,28.2521,7.5172,3.18419,11.3073,0.202784,0.881167,0.0306544,3.22104,1.65144,1.00234,4.41359,267.039
0.206392,2.88759,18.1745,1351.11,6473.75,249.643,0.00115695,0.0259749,431.087,31.556,1.16594,16.0578,315.935,19.7296,0.204092,0.60567,2.03335,6.40202,61.223,0.403827,122.042,0.189215,28.2115,7.50181,3.14848,11.2924,0.202579,0.878874,0.0304874,3.20863,1.64523,1.0061,4.40131,266.157
0.206301,2.89221,18.1596,1330.49,6505.39,249.434,0.00114627,0.0258187,429.67,31.5225,1.16308,16.0724,316.132,19.7344,0.204319,0.598521,2.04438,6.35335,61.2581,0.407417,122.128,0.189317,28.1747,7.49723,3.17066,11.2867,0.203279,0.873234,0.0304906,3.21186,1.64161,1.01169,4.38665,265.836
0.207627,2.89604,18.2429,1348.83,6445.41,249.73,0.00114664,0.025922,428.586,31.4999,1.1624,16.0481,316.011,19.637,0.204273,0.594078,2.04815,6.3549,60.9487,0.406976,122.229,0.189545,28.2457,7.50433,3.17988,11.2937,0.20331,0.881104,0.0305646,3.2166,1.65262,1.00243,4.43313,266.286
0.206512,2.89033,18.2674,1347.55,6472.4,249.435,0.00111443,0.0257632,429.676,31.4526,1.16391,15.9967,316.428,19.6276,0.203779,0.590002,2.02775,6.37412,61.0626,0.404131,122.853,0.189129,28.2532,7.50899,3.17625,11.3135,0.203284,0.883717,0.0305561,3.21625,1.65121,1.00494,4.42122,266.008
0.206484,2.90437,18.1978,1347.55,6520.69,249.371,0.00112212,0.0257632,426.152,31.2387,1.16547,16.0208,316.338,19.6657,0.204516,0.592849,2.04578,6.37753,61.0529,0.403862,123.212,0.189177,28.2179,7.50679,3.17526,11.3078,0.203168,0.88657,0.0305462,3.21207,1.63932,1.00344,4.42219,266.807
0.207497,2.92244,18.3364,1329.43,6557.73,252.124,0.00112884,0.0262997,425.968,31.5496,1.1746,16.1114,317.17,19.9043,0.205982,0.595047,2.05189,6.43516,61.2816,0.407659,123.391,0.191185,28.4833,7.54293,3.21021,11.3433,0.20357,0.899208,0.0308746,3.23721,1.64889,1.00699,4.46458,268.476
0.208195,2.92494,18.3146,1329.43,6523.39,253.234,0.00114311,0.0262997,426.31,31.7023,1.17976,16.1315,317.417,20.024,0.206528,0.597046,2.07569,6.41147,61.3083,0.410398,123.856,0.191862,28.5403,7.55276,3.22428,11.3642,0.204081,0.907879,0.0309644,3.23947,1.65492,1.0035,4.47944,267.915
